Sample ID,Test Type,Test Date,Analyst,Cultivar ID,Lot ID,Inventory Ref,Replicate,Seeds Tested,Germinated,Abnormal,Dead,Germination %,Germ Energy %,Mean Root mm,SD Root,VIability,Notes,Result,Hold Status,Reviewed By,Review Date
QC-2026-0404-001,Germination,2026-04-04,PNair,A-CUL-TOM-014,LOT-TOM-014-2026A,A-INV-SEED-02,Rep1,200,188,2,10,94.0,89.5,47,2.1,95,PASS,,DrMChen,2026-04-04
QC-2026-0404-002,Germination,2026-04-04,PNair,A-CUL-TOM-014,LOT-TOM-014-2026A,A-INV-SEED-02,Rep2,200,191,1,8,95.5,91.0,48,1.9,96,PASS,,DrMChen,2026-04-04
QC-2026-0404-003,Germination,2026-04-04,PNair,A-CUL-TOM-014,LOT-TOM-014-2026A,A-INV-SEED-02,Rep3,200,186,3,11,93.0,87.0,46,2.3,94,PASS,,DrMChen,2026-04-04
QC-2026-0404-004,Germination,2026-04-04,PNair,A-CUL-TOM-014,LOT-TOM-014-2026A,A-INV-SEED-02,Rep4,200,189,2,9,94.5,90.5,47,2.0,95,PASS,,DrMChen,2026-04-04
QC-2026-0404-005,Germination,2026-04-04,PNair,A-CUL-TOM-022,LOT-TOM-022-2026A,A-INV-SEED-03,Rep1,200,183,3,14,91.5,86.0,44,2.5,92,PASS,HOLD-PENDING-FIELD-TRIAL,DrMChen,2026-04-04
QC-2026-0404-006,Germination,2026-04-04,PNair,A-CUL-TOM-022,LOT-TOM-022-2026A,A-INV-SEED-03,Rep2,200,186,1,13,93.0,88.5,45,2.2,93,PASS,HOLD-PENDING-FIELD-TRIAL,DrMChen,2026-04-04
QC-2026-0404-007,Germination,2026-04-04,PNair,A-CUL-TOM-022,LOT-TOM-022-2026A,A-INV-SEED-03,Rep3,200,184,2,14,92.0,87.0,44,2.4,92,PASS,HOLD-PENDING-FIELD-TRIAL,DrMChen,2026-04-04
QC-2026-0404-008,Germination,2026-04-04,PNair,A-CUL-TOM-022,LOT-TOM-022-2026A,A-INV-SEED-03,Rep4,200,182,1,17,91.0,86.5,43,2.6,91,PASS,HOLD-PENDING-FIELD-TRIAL,DrMChen,2026-04-04
QC-2026-0404-009,Germination,2026-04-04,PNair,A-CUL-TOM-031,LOT-TOM-031-2026A,A-INV-SEED-04,Rep1,200,194,1,5,97.0,94.0,51,1.8,97,PASS,RELEASED-DROUGHT-ONLY,DrMChen,2026-04-04
QC-2026-0404-010,Germination,2026-04-04,PNair,A-CUL-TOM-031,LOT-TOM-031-2026A,A-INV-SEED-04,Rep2,200,192,2,6,96.0,93.0,50,1.9,96,PASS,RELEASED-DROUGHT-ONLY,DrMChen,2026-04-04
QC-2026-0404-011,Germination,2026-04-04,PNair,A-CUL-TOM-031,LOT-TOM-031-2026A,A-INV-SEED-04,Rep3,200,191,1,8,95.5,92.5,50,2.0,95,PASS,RELEASED-DROUGHT-ONLY,DrMChen,2026-04-04
QC-2026-0404-012,Germination,2026-04-04,PNair,A-CUL-TOM-031,LOT-TOM-031-2026A,A-INV-SEED-04,Rep4,200,193,1,6,96.5,93.5,51,1.7,96,PASS,RELEASED-DROUGHT-ONLY,DrMChen,2026-04-04
QC-2026-0404-013,Germination,2026-04-04,PNair,A-CUL-TOM-027,LOT-TOM-027-2026A,A-INV-SEED-17,Rep1,200,171,8,21,85.5,78.0,38,3.2,86,FAIL,RECLASSIFY-EARLY-STAGE,DrMChen,2026-04-04
QC-2026-0404-014,Germination,2026-04-04,PNair,A-CUL-TOM-027,LOT-TOM-027-2026A,A-INV-SEED-17,Rep2,200,168,10,22,84.0,76.5,37,3.5,84,FAIL,RECLASSIFY-EARLY-STAGE,DrMChen,2026-04-04
QC-2026-0404-015,Germination,2026-04-04,PNair,A-CUL-TOM-027,LOT-TOM-027-2026A,A-INV-SEED-17,Rep3,200,165,9,26,82.5,75.0,36,3.8,83,FAIL,RECLASSIFY-EARLY-STAGE,DrMChen,2026-04-04
QC-2026-0404-016,Germination,2026-04-04,PNair,A-CUL-TOM-027,LOT-TOM-027-2026A,A-INV-SEED-17,Rep4,200,170,8,22,85.0,78.5,38,3.1,85,FAIL,RECLASSIFY-EARLY-STAGE,DrMChen,2026-04-04
QC-2026-0404-017,Viability,2026-04-08,PNair,A-CUL-TOM-014,LOT-TOM-014-2026A,A-INV-SEED-02,Pooled,300,286,na,14,95.3,na,na,na,96,PASS,RELEASED,DrMChen,2026-04-08
QC-2026-0404-018,Viability,2026-04-08,PNair,A-CUL-TOM-022,LOT-TOM-022-2026A,A-INV-SEED-03,Pooled,300,273,na,27,91.0,na,na,na,93,PASS,HOLD-PENDING-FIELD-TRIAL,DrMChen,2026-04-08
QC-2026-0404-019,Viability,2026-04-08,PNair,A-CUL-TOM-027,LOT-TOM-027-2026A,A-INV-SEED-17,Pooled,300,252,na,48,84.0,na,na,na,84,FAIL,RECLASSIFY-EARLY-STAGE,DrMChen,2026-04-08
